ObjectID,Session_Name,Timestamp,Latitude,Longitude,Temperature,PM1,PM10,PM2.5,Humidity
1,Walk 3/27,2024-03-27T13:11:43.000,41.99848152,-87.65996253,72,0.6666667,0.6666667,0.6666667,36
2,Walk 3/27,2024-03-27T13:11:48.000,41.99848152,-87.65996253,72.2,0.2,0.2,0.2,38.8
3,Walk 3/27,2024-03-27T13:11:53.000,41.99848152,-87.65996253,72.4,0,0,0,60.8
4,Walk 3/27,2024-03-27T13:11:58.000,41.99865126,-87.66049333,72,0.6,0.6,0.6,61.4
5,Walk 3/27,2024-03-27T13:12:03.000,41.99857388,-87.6606263,72.4,1,1,1,53
6,Walk 3/27,2024-03-27T13:12:08.000,41.99853888,-87.66060294,73,1.2,1.2,1.2,46
7,Walk 3/27,2024-03-27T13:12:13.000,41.99846992,-87.66062141,73,0.8,0.8,0.8,41
8,Walk 3/27,2024-03-27T13:12:18.000,41.99847239,-87.66059804,73,0.4,0.4,0.4,37.4
9,Walk 3/27,2024-03-27T13:12:23.000,41.99847436,-87.66058307,73,1,1,1,35.2
10,Walk 3/27,2024-03-27T13:12:28.000,41.99846967,-87.66055188,73,0.6,0.6,0.6,34
11,Walk 3/27,2024-03-27T13:12:33.000,41.99853586,-87.66048161,73,1,1,1,34
12,Walk 3/27,2024-03-27T13:12:38.000,41.99852126,-87.66048456,73,1.4,1.4,1.4,33.4
13,Walk 3/27,2024-03-27T13:12:43.000,41.99855865,-87.66046573,73,1.2,1.2,1.2,32.2
14,Walk 3/27,2024-03-27T13:12:48.000,41.99856268,-87.66043817,73,1,1,1,31
15,Walk 3/27,2024-03-27T13:12:53.000,41.99864741,-87.66034674,73,0.6,0.6,0.6,30
16,Walk 3/27,2024-03-27T13:12:58.000,41.99865179,-87.66034721,73,0,0,0,29.8
17,Walk 3/27,2024-03-27T13:13:03.000,41.99864806,-87.66036068,73,0.4,0.4,0.4,29
18,Walk 3/27,2024-03-27T13:13:08.000,41.99865175,-87.66036876,73,0.6,0.6,0.6,28.6
19,Walk 3/27,2024-03-27T13:13:13.000,41.99869656,-87.66017486,73.2,0.2,0.2,0.2,28
20,Walk 3/27,2024-03-27T13:13:18.000,41.99869988,-87.66012407,74,1,1,1,27.8
21,Walk 3/27,2024-03-27T13:13:23.000,41.99865964,-87.66009915,74,1,1,1,27
22,Walk 3/27,2024-03-27T13:13:28.000,41.99864477,-87.66005212,74,0.8,0.8,0.8,27
23,Walk 3/27,2024-03-27T13:13:33.000,41.99864477,-87.66005212,74,0.4,0.4,0.4,27.2
24,Walk 3/27,2024-03-27T13:13:38.000,41.99864477,-87.66005212,74,0.2,0.2,0.2,27
25,Walk 3/27,2024-03-27T13:13:43.000,41.998481,-87.65996224,74,0,0,0,27
26,Walk 3/27,2024-03-27T13:13:48.000,41.99870049,-87.66030922,74,0.2,0.2,0.2,27.4
27,Walk 3/27,2024-03-27T13:13:53.000,41.99883024,-87.66051808,74,1,1,1,27.333334
28,Walk 3/27,2024-03-27T13:13:58.000,41.9988721,-87.66021182,74,0.5,0.5,0.5,26.75
29,Walk 3/27,2024-03-27T13:14:03.000,41.9988721,-87.66021182,74,0.8,0.8,0.8,25.6
30,Walk 3/27,2024-03-27T13:14:08.000,41.99863639,-87.660287,75,0.6,0.6,0.6,24.4
31,Walk 3/27,2024-03-27T13:14:13.000,41.99851976,-87.66029671,75,0,0,0,23.4
32,Walk 3/27,2024-03-27T13:14:18.000,41.99873556,-87.66021181,75,1.4,,,
33,Walk 3/27,2024-03-27T13:14:18.000,41.99878868,-87.66023109,,,1.4,1.4,
34,Walk 3/27,2024-03-27T13:14:18.000,41.99873556,-87.66021181,,,,,21.6
35,Walk 3/27,2024-03-27T13:14:23.000,41.99866614,-87.6601192,75,2.1666667,2.3333333,2.1666667,19.666666
36,Walk 3/27,2024-03-27T13:14:28.000,41.99860606,-87.66013841,75,3,4,3,18.25
37,Walk 3/27,2024-03-27T13:14:33.000,41.99853545,-87.65999827,75,2.6,3.2,2.6,17
38,Walk 3/27,2024-03-27T13:14:38.000,41.99845655,-87.65989868,75,1.5,1.5,1.5,17
39,Walk 3/27,2024-03-27T13:14:43.000,41.99832798,-87.65984325,75,2,2,2,17
40,Walk 3/27,2024-03-27T13:14:48.000,41.99824971,-87.65978218,75,2.6,3.2,2.6,17
41,Walk 3/27,2024-03-27T13:14:53.000,41.99826585,-87.65968904,75,2,2,2,17
42,Walk 3/27,2024-03-27T13:14:58.000,41.99830245,-87.65959209,75,2,2,2,16.5
43,Walk 3/27,2024-03-27T13:15:03.000,41.99831951,-87.65953096,75,,,,
44,Walk 3/27,2024-03-27T13:15:03.000,41.99831606,-87.65953464,,1.6,,,
45,Walk 3/27,2024-03-27T13:15:03.000,41.99831951,-87.65953096,,,1.6,,
46,Walk 3/27,2024-03-27T13:15:03.000,41.99831606,-87.65953464,,,,1.6,16
47,Walk 3/27,2024-03-27T13:15:08.000,41.99830705,-87.65942988,75,1.1666666,1.1666666,1.1666666,16
48,Walk 3/27,2024-03-27T13:15:13.000,41.99828955,-87.65932405,75,2.25,2.5,2.25,16
49,Walk 3/27,2024-03-27T13:15:18.000,41.9982318,-87.65925393,75,2.2,,,
50,Walk 3/27,2024-03-27T13:15:18.000,41.99822605,-87.65922246,,,2.4,2.2,
51,Walk 3/27,2024-03-27T13:15:18.000,41.9982318,-87.65925393,,,,,16
52,Walk 3/27,2024-03-27T13:15:23.000,41.99822049,-87.65906662,75,2.6666667,3.3333333,2.6666667,16
53,Walk 3/27,2024-03-27T13:15:28.000,41.99820633,-87.65896699,75,2,2,2,16
54,Walk 3/27,2024-03-27T13:15:33.000,41.99823047,-87.65884819,75,,,,
55,Walk 3/27,2024-03-27T13:15:33.000,41.99821197,-87.65888783,,2,,,
56,Walk 3/27,2024-03-27T13:15:33.000,41.99823047,-87.65884819,,,2,,
57,Walk 3/27,2024-03-27T13:15:33.000,41.99821197,-87.65888783,,,,2,
58,Walk 3/27,2024-03-27T13:15:33.000,41.99823047,-87.65884819,,,,,16
59,Walk 3/27,2024-03-27T13:15:38.000,41.99827398,-87.65874498,75,2.1666667,2.3333333,2.1666667,16
60,Walk 3/27,2024-03-27T13:15:43.000,41.99819787,-87.65870221,75,3,4,3,16
61,Walk 3/27,2024-03-27T13:15:48.000,41.99812188,-87.65873303,74.8,,,,
62,Walk 3/27,2024-03-27T13:15:48.000,41.99813133,-87.65873445,,3.4,4.4,3.8,16
63,Walk 3/27,2024-03-27T13:15:53.000,41.9980495,-87.65873821,74.5,3.1666667,4.1666665,3.3333333,16
64,Walk 3/27,2024-03-27T13:15:58.000,41.99797492,-87.65871787,74,3,4,3,16
65,Walk 3/27,2024-03-27T13:16:03.000,41.99791583,-87.65872115,74,,,,
66,Walk 3/27,2024-03-27T13:16:03.000,41.99790535,-87.65871543,,4,5,,
67,Walk 3/27,2024-03-27T13:16:03.000,41.99791583,-87.65872115,,,,5,
68,Walk 3/27,2024-03-27T13:16:03.000,41.99790535,-87.65871543,,,,,15.6
69,Walk 3/27,2024-03-27T13:16:08.000,41.9978317,-87.65867597,74,3,4,3,15
70,Walk 3/27,2024-03-27T13:16:13.000,41.99776925,-87.65860985,74,2.75,3.5,2.75,15
71,Walk 3/27,2024-03-27T13:16:18.000,41.99774997,-87.65859788,74,2,2,2,
72,Walk 3/27,2024-03-27T13:16:18.000,41.99774286,-87.65858588,,,,,15
73,Walk 3/27,2024-03-27T13:16:23.000,41.99766386,-87.65856086,73,1.2,1.2,1.2,15
74,Walk 3/27,2024-03-27T13:16:28.000,41.99761462,-87.65853136,73,1,,,
75,Walk 3/27,2024-03-27T13:16:28.000,41.99760108,-87.65851946,,,1,,
76,Walk 3/27,2024-03-27T13:16:28.000,41.99761462,-87.65853136,,,,1,
77,Walk 3/27,2024-03-27T13:16:28.000,41.99760108,-87.65851946,,,,,15
78,Walk 3/27,2024-03-27T13:16:33.000,41.99751736,-87.65847743,73.8,1,1,1,15
79,Walk 3/27,2024-03-27T13:16:38.000,41.99742946,-87.65845283,74,1.6666666,1.6666666,1.6666666,15
80,Walk 3/27,2024-03-27T13:16:43.000,41.99733375,-87.6584295,74,2,2,2,15
81,Walk 3/27,2024-03-27T13:16:48.000,41.99727597,-87.65841124,74,1.8,1.8,1.8,15.8
82,Walk 3/27,2024-03-27T13:16:53.000,41.99721227,-87.65838719,74,1.8,1.8,1.8,16
83,Walk 3/27,2024-03-27T13:16:58.000,41.99713956,-87.65841591,74,,,,
84,Walk 3/27,2024-03-27T13:16:58.000,41.99715059,-87.65842066,,2.4,2.8,2.4,16
85,Walk 3/27,2024-03-27T13:17:03.000,41.99706781,-87.65839385,74,2,2,2,16
86,Walk 3/27,2024-03-27T13:17:08.000,41.99701361,-87.65839541,73.833336,3.3333333,4,3.8333333,15.666667
87,Walk 3/27,2024-03-27T13:17:13.000,41.99692555,-87.65837804,73,2.75,3.5,2.75,15.25
88,Walk 3/27,2024-03-27T13:17:18.000,41.99684962,-87.65839339,73,,,,
89,Walk 3/27,2024-03-27T13:17:18.000,41.99683039,-87.65839433,,2,,,
90,Walk 3/27,2024-03-27T13:17:18.000,41.99684962,-87.65839339,,,2,,
91,Walk 3/27,2024-03-27T13:17:18.000,41.99683039,-87.65839433,,,,2,15
92,Walk 3/27,2024-03-27T13:17:23.000,41.99674675,-87.65837533,73,1.6666666,1.6666666,1.6666666,15
93,Walk 3/27,2024-03-27T13:17:28.000,41.99665168,-87.65839355,73,1,1,1,15
94,Walk 3/27,2024-03-27T13:17:33.000,41.99660805,-87.65839421,73,0.8,,,
95,Walk 3/27,2024-03-27T13:17:33.000,41.99658513,-87.65839017,,,0.8,0.8,
96,Walk 3/27,2024-03-27T13:17:33.000,41.99660805,-87.65839421,,,,,15
97,Walk 3/27,2024-03-27T13:17:38.000,41.99652847,-87.65839366,72,0.6,0.6,0.6,15
98,Walk 3/27,2024-03-27T13:17:43.000,41.99645379,-87.65838934,72,,,,
99,Walk 3/27,2024-03-27T13:17:43.000,41.99646882,-87.6583965,,2,2,,
100,Walk 3/27,2024-03-27T13:17:43.000,41.99645379,-87.65838934,,,,2,
101,Walk 3/27,2024-03-27T13:17:43.000,41.99646882,-87.6583965,,,,,15
102,Walk 3/27,2024-03-27T13:17:48.000,41.99638373,-87.65839985,72,,,,
103,Walk 3/27,2024-03-27T13:17:48.000,41.99637139,-87.65840595,,2,,,
104,Walk 3/27,2024-03-27T13:17:48.000,41.99638373,-87.65839985,,,2,2,15
105,Walk 3/27,2024-03-27T13:17:53.000,41.99629582,-87.65840938,72,2,2,2,15
106,Walk 3/27,2024-03-27T13:17:58.000,41.99627926,-87.65831963,72,,,,
107,Walk 3/27,2024-03-27T13:17:58.000,41.99627497,-87.65834494,,1.4,,,
108,Walk 3/27,2024-03-27T13:17:58.000,41.99627926,-87.65831963,,,1.4,1.4,
109,Walk 3/27,2024-03-27T13:17:58.000,41.99627497,-87.65834494,,,,,15
110,Walk 3/27,2024-03-27T13:18:03.000,41.99628664,-87.65827204,71.2,2,,,
111,Walk 3/27,2024-03-27T13:18:03.000,41.99628118,-87.65825202,,,2,,
112,Walk 3/27,2024-03-27T13:18:03.000,41.99628664,-87.65827204,,,,2,
113,Walk 3/27,2024-03-27T13:18:03.000,41.99628118,-87.65825202,,,,,15
114,Walk 3/27,2024-03-27T13:18:08.000,41.99620202,-87.65827554,71,1.6666666,1.6666666,1.6666666,15
115,Walk 3/27,2024-03-27T13:18:13.000,41.99612677,-87.65831344,71,1.5,1.5,1.5,15
116,Walk 3/27,2024-03-27T13:18:18.000,41.99606598,-87.65831274,71,1.2,1.2,1.2,15
117,Walk 3/27,2024-03-27T13:18:23.000,41.99597938,-87.65831185,71,2.1666667,2.5,2.1666667,15
118,Walk 3/27,2024-03-27T13:18:28.000,41.99590822,-87.65833442,71,2,2,2,15
119,Walk 3/27,2024-03-27T13:18:33.000,41.995849,-87.65832909,71,1.8,1.8,1.8,15.8
120,Walk 3/27,2024-03-27T13:18:38.000,41.99577166,-87.65834089,70.8,1,1,1,16
121,Walk 3/27,2024-03-27T13:18:43.000,41.9956923,-87.65833023,70,1.4,1.4,1.4,16
122,Walk 3/27,2024-03-27T13:18:48.000,41.99559719,-87.6583381,70,1.2,1.2,1.2,16
123,Walk 3/27,2024-03-27T13:18:53.000,41.99552391,-87.6583198,70,1.3333334,1.3333334,1.3333334,16
124,Walk 3/27,2024-03-27T13:18:58.000,41.99542858,-87.65829801,70,2,2,2,16
125,Walk 3/27,2024-03-27T13:19:03.000,41.99537046,-87.65830579,70,,,,
126,Walk 3/27,2024-03-27T13:19:03.000,41.99538462,-87.65830383,,2,2,2,
127,Walk 3/27,2024-03-27T13:19:03.000,41.99537046,-87.65830579,,,,,16
128,Walk 3/27,2024-03-27T13:19:08.000,41.99529656,-87.65831626,70,0.8333333,0.8333333,0.8333333,16
129,Walk 3/27,2024-03-27T13:19:13.000,41.99521405,-87.65830632,70,1.75,1.75,1.75,16
130,Walk 3/27,2024-03-27T13:19:18.000,41.99514753,-87.6583061,70,,,,
131,Walk 3/27,2024-03-27T13:19:18.000,41.99512974,-87.65830795,,2,,,
132,Walk 3/27,2024-03-27T13:19:18.000,41.99514753,-87.6583061,,,2,,
133,Walk 3/27,2024-03-27T13:19:18.000,41.99512974,-87.65830795,,,,2,16
134,Walk 3/27,2024-03-27T13:19:23.000,41.9950525,-87.65832985,70,1.6666666,1.6666666,1.6666666,16.666666
135,Walk 3/27,2024-03-27T13:19:28.000,41.99495774,-87.65833894,70,1.75,1.75,1.75,16.25
136,Walk 3/27,2024-03-27T13:19:33.000,41.99489097,-87.65832785,70,1.8,1.8,1.8,16
137,Walk 3/27,2024-03-27T13:19:38.000,41.99481085,-87.65828949,69.5,1.5,1.5,1.5,16
138,Walk 3/27,2024-03-27T13:19:43.000,41.99473088,-87.65828377,69,2.5,3,2.5,16
139,Walk 3/27,2024-03-27T13:19:48.000,41.99465744,-87.65828115,69,,,,
140,Walk 3/27,2024-03-27T13:19:48.000,41.99467133,-87.65828164,,13.8,,,
141,Walk 3/27,2024-03-27T13:19:48.000,41.99465744,-87.65828115,,,16,14.8,16
142,Walk 3/27,2024-03-27T13:19:53.000,41.99460306,-87.65827921,69,26,38,28,16
143,Walk 3/27,2024-03-27T13:19:58.000,41.99452933,-87.65827889,69,17.6,,,
144,Walk 3/27,2024-03-27T13:19:58.000,41.99454318,-87.65827731,,,20.6,19.2,
145,Walk 3/27,2024-03-27T13:19:58.000,41.99452933,-87.65827889,,,,,16
146,Walk 3/27,2024-03-27T13:20:03.000,41.99447662,-87.65826539,69,,,,
147,Walk 3/27,2024-03-27T13:20:03.000,41.99447963,-87.65827455,,8.2,,,
148,Walk 3/27,2024-03-27T13:20:03.000,41.99447662,-87.65826539,,,9.6,,
149,Walk 3/27,2024-03-27T13:20:03.000,41.99447963,-87.65827455,,,,9.2,
150,Walk 3/27,2024-03-27T13:20:03.000,41.99447662,-87.65826539,,,,,16
151,Walk 3/27,2024-03-27T13:20:08.000,41.99449544,-87.65816597,68.666664,3.5,4.5,4,16
152,Walk 3/27,2024-03-27T13:20:13.000,41.99456153,-87.65799739,68,2,2.25,2,16
153,Walk 3/27,2024-03-27T13:20:18.000,41.99458009,-87.65791737,68,1.6,,,
154,Walk 3/27,2024-03-27T13:20:18.000,41.99457717,-87.65793875,,,1.6,1.6,16.8
155,Walk 3/27,2024-03-27T13:20:23.000,41.99462668,-87.65783172,68,1,1,1,17
156,Walk 3/27,2024-03-27T13:20:28.000,41.99464731,-87.65775465,68,1.25,1.25,1.25,17
157,Walk 3/27,2024-03-27T13:20:33.000,41.99464822,-87.65767644,68,,,,
158,Walk 3/27,2024-03-27T13:20:33.000,41.99464299,-87.65765917,,2,2,,
159,Walk 3/27,2024-03-27T13:20:33.000,41.99464822,-87.65767644,,,,2,
160,Walk 3/27,2024-03-27T13:20:33.000,41.99464299,-87.65765917,,,,,17
161,Walk 3/27,2024-03-27T13:20:38.000,41.99458167,-87.65756472,68,2.1666667,2.3333333,2.1666667,17
162,Walk 3/27,2024-03-27T13:20:43.000,41.99455965,-87.6574745,68,2.75,3.5,2.75,17
163,Walk 3/27,2024-03-27T13:20:48.000,41.99455705,-87.65737514,68,2.4,2.8,2.4,17
164,Walk 3/27,2024-03-27T13:20:53.000,41.99457799,-87.65727078,67.666664,3,4,,
165,Walk 3/27,2024-03-27T13:20:53.000,41.9945716,-87.65729141,,,,3,17
166,Walk 3/27,2024-03-27T13:20:58.000,41.99454736,-87.65719696,67.25,2.75,3.5,2.75,17
167,Walk 3/27,2024-03-27T13:21:03.000,41.9945613,-87.6572066,67,2,,,
168,Walk 3/27,2024-03-27T13:21:03.000,41.99456082,-87.65720375,,,2.4,,
169,Walk 3/27,2024-03-27T13:21:03.000,41.9945613,-87.6572066,,,,2,18.2
170,Walk 3/27,2024-03-27T13:21:08.000,41.99458424,-87.65721379,67,3,4,3,19.833334
171,Walk 3/27,2024-03-27T13:21:13.000,41.99459601,-87.65720668,67,3,4,3,21
172,Walk 3/27,2024-03-27T13:21:18.000,41.99459601,-87.65720668,67,3,4,3,21.4
173,Walk 3/27,2024-03-27T13:21:23.000,41.9946343,-87.65720652,67,3.3333333,,,
174,Walk 3/27,2024-03-27T13:21:23.000,41.99463954,-87.65720427,,,4.3333335,,
175,Walk 3/27,2024-03-27T13:21:23.000,41.9946343,-87.65720652,,,,3.6666667,
176,Walk 3/27,2024-03-27T13:21:23.000,41.99463954,-87.65720427,,,,,22
177,Walk 3/27,2024-03-27T13:21:28.000,41.99464912,-87.65719877,67,2.5,2.75,2.75,22.25
178,Walk 3/27,2024-03-27T13:21:33.000,41.99463602,-87.65721503,67,3.2,4.2,3.4,23
179,Walk 3/27,2024-03-27T13:21:38.000,41.99464831,-87.6572016,67,2.5,3,2.5,23
180,Walk 3/27,2024-03-27T13:21:43.000,41.99464831,-87.6572016,67,2,2,2,23.5
181,Walk 3/27,2024-03-27T13:21:48.000,41.99464831,-87.6572016,67,2.2,2.4,2.2,24
182,Walk 3/27,2024-03-27T13:21:53.000,41.99464831,-87.6572016,67,3,4,3,24
183,Walk 3/27,2024-03-27T13:21:58.000,41.99462209,-87.6571953,67,3.25,4.25,3.5,24
184,Walk 3/27,2024-03-27T13:22:03.000,41.99464612,-87.65720448,67.2,,,,
185,Walk 3/27,2024-03-27T13:22:03.000,41.99463832,-87.65720222,,3.4,4.4,3.8,
186,Walk 3/27,2024-03-27T13:22:03.000,41.99464612,-87.65720448,,,,,24
187,Walk 3/27,2024-03-27T13:22:08.000,41.99461953,-87.65723085,67,2.5,3,2.5,24.166666
188,Walk 3/27,2024-03-27T13:22:13.000,41.99458371,-87.65722814,67.5,3,4,3,25
189,Walk 3/27,2024-03-27T13:22:18.000,41.99458371,-87.65722814,67.8,3,3.8,3,25
190,Walk 3/27,2024-03-27T13:22:23.000,41.99458371,-87.65722814,68,3.3333333,4.3333335,3.6666667,25
191,Walk 3/27,2024-03-27T13:22:28.000,41.99459651,-87.65717803,68,3.25,4.25,3.5,25
192,Walk 3/27,2024-03-27T13:22:33.000,41.99459651,-87.65717803,68,3.2,4.2,3.4,25
193,Walk 3/27,2024-03-27T13:22:38.000,41.99459651,-87.65717803,68,3.1666667,4.1666665,3.3333333,25
194,Walk 3/27,2024-03-27T13:22:43.000,41.99459103,-87.65722404,68,3,4,3,25
195,Walk 3/27,2024-03-27T13:22:48.000,41.9945779,-87.65722564,68,,,,
196,Walk 3/27,2024-03-27T13:22:48.000,41.99457625,-87.65723441,,2.4,2.8,2.4,
197,Walk 3/27,2024-03-27T13:22:48.000,41.9945779,-87.65722564,,,,,25
198,Walk 3/27,2024-03-27T13:22:53.000,41.99456397,-87.65725828,68,2.1666667,2.3333333,2.1666667,26
199,Walk 3/27,2024-03-27T13:22:58.000,41.99456484,-87.65729882,68,2.75,3.5,2.75,26
200,Walk 3/27,2024-03-27T13:23:03.000,41.99456178,-87.65731126,68,2,2,2,26
201,Walk 3/27,2024-03-27T13:23:08.000,41.99457197,-87.65729634,68,3,4,3,26
202,Walk 3/27,2024-03-27T13:23:13.000,41.99457498,-87.65728303,68,3,4,3,26
203,Walk 3/27,2024-03-27T13:23:18.000,41.99458277,-87.65724949,68,2.2,2.4,2.2,26
204,Walk 3/27,2024-03-27T13:23:23.000,41.99457159,-87.6572521,68,2.4,2.8,2.4,26
205,Walk 3/27,2024-03-27T13:23:28.000,41.99456433,-87.65723515,68,2.4,2.8,2.4,26
206,Walk 3/27,2024-03-27T13:23:33.000,41.99455979,-87.65723277,68,2,2,2,26
